epoch,accuracy,librispeech_dev_clean_auc,librispeech_dev_clean_eer,loss,lr,sitw_eval_auc,sitw_eval_eer,train_accuracy,train_loss,val_accuracy,val_loss
1,0.0,0.8895701593473894,0.17735725403457034,16.2927602241703,0.01,0.6182375786186918,0.42058562555456963,0.0,375.1718693926843,0.00015328019619865113,376.59892448794056
2,4.257493188010899e-05,0.862558577842792,0.24559678872777915,14.034116979168296,0.01,0.6224783477994598,0.4077669902912622,4.0064102564102564e-05,105.53675562991853,7.664009809932556e-05,105.40706904406467
3,3.4059945504087195e-05,0.8980065429923133,0.20275251904644878,13.885473267633957,0.01,0.5739229111960222,0.4316366862950714,4.0064102564102564e-05,98831.12949794812,7.664009809932556e-05,99380.46157594775
4,5.108991825613079e-05,0.9001090685112973,0.14319652658310805,13.905076340730197,0.01,0.5853663311903679,0.4660194174757281,4.0064102564102564e-05,906.0457195297327,0.00015328019619865113,909.1390534819034
5,4.257493188010899e-05,0.9081341735606858,0.1706484641638225,13.975022959403784,0.01,0.6102439440798001,0.4543841251915786,0.0,1046.6211065385803,0.00015328019619865113,1053.0451217069199
6,4.257493188010899e-05,0.925228936231128,0.14000163840419433,13.962885363548516,0.01,0.5966123968294866,0.4368932038834952,0.0,360.6240163054196,0.0,361.41396138594547
7,4.257493188010899e-05,0.8969024375036871,0.1706484641638225,13.965353369085834,0.01,0.5837984604793988,0.4564814067919658,4.0064102564102564e-05,179.66596000964068,0.0002299202942979767,179.16694336194777
8,8.514986376021799e-06,0.879833956402232,0.1877133105802048,13.978803801707413,0.01,0.6107060038797361,0.46043397596192626,0.0,5785.206788011209,0.00015328019619865113,5800.237448482704
9,3.4059945504087195e-05,0.9090190795803114,0.12969283276450516,14.017761400735273,0.01,0.5946850592572115,0.4368932038834952,8.012820512820513e-05,137.60158273239665,0.00015328019619865113,138.83509304438067
10,8.514986376021799e-06,0.9045383516591359,0.16040955631399323,14.001324214266116,0.01,0.6277286001702573,0.45954666451560855,8.012820512820513e-05,78.70863925939767,7.664009809932556e-05,78.65648167869024
