epoch,accuracy,common_voice_test_auc,common_voice_test_eer,librispeech_dev_clean_auc,librispeech_dev_clean_eer,loss,lr,sitw_eval_auc,sitw_eval_eer,tcof_dev_auc,tcof_dev_eer,train_accuracy,train_loss,val_accuracy,val_loss
1,0.0,0.9374216102260294,0.16724041309743015,0.7142952502832098,0.3507853403141361,18.37594764025923,0.001,0.5025395161290322,0.5098387096774194,0.631078236195968,0.3571428571428571,0.002958333333333333,7.580870107687275,0.002728512960436562,7.661680434746379
2,0.0,0.9748352146879087,0.05499959971179249,0.7713815888959266,0.2984293193717278,17.80733959737184,0.001,0.5395685483870968,0.4804032258064516,0.6433205189812591,0.3571428571428571,0.015166666666666667,7.001734522199525,0.009549795361527967,7.209466979014758
3,0.0,0.9835614976116136,0.03362420943079017,0.8261735171338729,0.24345549738219896,17.33491334128769,0.001,0.5561967741935484,0.46556451612903227,0.6538351525136724,0.3571428571428571,0.035625,6.56189654749346,0.01985751098984387,6.906830979130197
4,0.0,0.9856163104101621,0.027940116884156596,0.8495049552005627,0.22774869109947649,16.91806348132256,0.001,0.5747274193548387,0.4399999999999999,0.6720097938262283,0.3571428571428571,0.07545833333333334,6.146649374640856,0.030013642564802184,6.65909742650597
5,0.0,0.9869772903156939,0.024817868865583223,0.8631154467975898,0.20803762997194256,16.52747904832678,0.001,0.5870766129032258,0.4670967741935484,0.6601050319214663,0.3571428571428571,0.12495833333333334,5.798524818578912,0.04335303926026982,6.460541133137495
6,0.0,0.9873775785232033,0.02433752301657193,0.8771478368469214,0.19755735269846508,16.161322756459224,0.001,0.6007983870967741,0.4399999999999999,0.6607457495251825,0.3571428571428571,0.19333333333333333,5.419819367031083,0.053054418675155375,6.293912978996043
7,0.0,0.9891922183972459,0.02001441037547034,0.8874045273830026,0.18196071959069154,15.806122894231697,0.001,0.6164153225806452,0.38,0.6454257339648979,0.3571428571428571,0.2697083333333333,5.08304206217202,0.06715173563741095,6.153966461154765
8,0.0,0.9879379820137166,0.02001441037547034,0.8870163289606825,0.19508169664961214,15.462049137030908,0.001,0.6061709677419356,0.4018548387096774,0.6552596050433629,0.3571428571428571,0.3700833333333333,4.735455298223322,0.08124905259966651,6.010506292641446
9,0.0,0.9872441491207002,0.023536946601553123,0.8878709271569531,0.17277486910994763,15.116851681074065,0.001,0.6315612903225807,0.37056451612903224,0.6179950115557996,0.4600352394682044,0.42133333333333334,4.534471167027613,0.08700924662725482,5.956090648896207
10,0.0,0.9875643796867078,0.02065487150748539,0.8925439979814545,0.1686746987951807,14.809524252864003,0.001,0.6252814516129033,0.3954032258064516,0.6325026887256584,0.4252763094666026,0.5315833333333333,4.146367262587317,0.10140973169622555,5.811567335503742
11,0.0,0.9869772903156939,0.019774237450964696,0.8893131156196181,0.1884816753926701,14.461386061999066,0.001,0.6264129032258066,0.4093548387096774,0.6141621473192833,0.45787281755566234,0.6225416666666667,3.818480709763156,0.11171744732454146,5.734201471573562
12,0.0,0.9878579243722146,0.018573372828436473,0.8930278958478971,0.17725697309787095,14.15199517839282,0.001,0.619641129032258,0.41000000000000003,0.6217821102491934,0.42471568156335093,0.663375,3.609918322689013,0.12126724268606942,5.655333416070144
13,0.0,0.9866570597496864,0.02001441037547034,0.8916066618910556,0.18848167539267013,13.86413698604853,0.001,0.6591612903225806,0.38000000000000006,0.6259868195235807,0.4063751401569758,0.7135833333333333,3.3835810567013573,0.13127179020767016,5.591723117339447
14,0.0001,0.9838283564166199,0.02425746537507005,0.9003745023844931,0.18062827225130892,13.577259266922239,0.001,0.6582032258064516,0.380241935483871,0.6109356765291412,0.4380105718404613,0.7437916666666666,3.2197432012094795,0.1343034712748219,5.556750393182733
15,0.00021666666666666666,0.9829477223600993,0.026419021695620847,0.8867780524666261,0.19633507853403143,13.3055584368362,0.001,0.6398072580645161,0.41000000000000003,0.6195109951717351,0.399327246516098,0.7745833333333333,2.999117750221888,0.14749128391693195,5.475115690055138
16,0.0003333333333333333,0.9809462813225522,0.029301096789688577,0.8834216590956813,0.19714474335698962,13.01037588437482,0.001,0.639683064516129,0.37999999999999995,0.6056611976842635,0.4214320038443056,0.8049583333333333,2.780228016217043,0.14627861149007124,5.464111734137432
