epoch,accuracy,common_voice_val_auc,common_voice_val_eer,librispeech_val_auc,librispeech_val_eer,loss,lr,sitw_val_auc,sitw_val_eer,tcof_val_auc,tcof_val_eer,train_accuracy,train_loss,val_accuracy,val_loss
1,0.0,0.5,1,0.7592778268439846,0.32072840620129606,18.177108056379648,0.1,0.5931462287868392,0.4137931034482759,0.7483709875554131,0.3333333333333334,0.0009583333333333333,7.427286340330663,0.0009095043201455207,7.417245240194957
2,0.0,0.5,1,0.8775081835265497,0.20941678287261095,17.056913239560647,0.1,0.6055609108359701,0.4482758620689655,0.7964535597927682,0.255568017945842,0.003416666666666667,7.211822783129395,0.0030316810671517356,7.228118177012505
3,0.0,0.5,1,0.9062651396236654,0.1715210355987055,16.369868955104113,0.1,0.6152004155821066,0.3993394022395875,0.7724857127597073,0.28705335683384076,0.012416666666666666,6.56755082751731,0.009246627254812794,6.619182277074677
4,0.0,0.5,1,0.9079038358978281,0.17152103559870546,15.711042978117671,0.1,0.6097139539470577,0.3793103448275862,0.8018212893232922,0.28553116487742347,0.018583333333333334,6.275642799168061,0.015461573442473852,6.325570961104646
5,0.0,0.5,1,0.921695377697856,0.153801985070954,15.179602424628804,0.1,0.5930962255921906,0.4137931034482759,0.7469022058430806,0.2589328633231854,0.030916666666666665,6.246193332674285,0.023798696377141125,6.303110452096606
6,0.0,0.5,1,0.9152972151189043,0.14239482200647247,14.77535774969082,0.1,0.6369656950305158,0.39563360992507857,0.8014474176146984,0.2134273353629226,0.056416666666666664,6.0248617733741305,0.05062907382143399,6.08088693256846
7,0.0,0.5,1,0.9307696616343055,0.13985727175785415,14.076081190819641,0.1,0.6136308708611939,0.3793103448275862,0.7602547668642845,0.22712706297067778,0.09966666666666667,5.673124685617396,0.08064271638623617,5.7634664524647246
8,1.6666666666666667e-05,0.5,1,0.9091400919400725,0.17964071856287425,13.899972834499756,0.1,0.5994605210888473,0.41956013856440827,0.7327484911606046,0.2651017465149816,0.05720833333333333,6.357017817222681,0.04562680006063362,6.428891876880792
9,0.0001,0.5,1,0.903911819929764,0.18122977346278313,13.440242651260624,0.1,0.5813371409840074,0.4482758620689655,0.7253244672328152,0.33333333333333337,0.08220833333333333,6.160969632606584,0.06972866454448992,6.225325181233306
10,0.0002,0.5,1,0.8261044077558409,0.2462472315642687,13.125036882421352,0.1,0.5852457240323687,0.4482758620689655,0.7077792020509535,0.33333333333333337,0.075125,6.5133549605883045,0.062301045929968164,6.560900442565837
