epoch,accuracy,librispeech_dev_clean_auc,librispeech_dev_clean_eer,loss,lr,sitw_eval_auc,sitw_eval_eer,train_accuracy,train_loss,val_accuracy,val_loss
1,0.0,0.5,0.5,39.6690831544064,0.5,0.5,0.5,0.0008402688860435339,850908.8749996248,0.0011496014714898835,850637.4789412696
2,0.0,0.5,0.5,39.624859016156556,0.5,0.5,0.5,0.001120358514724712,4671.3201241306315,0.000536480686695279,4670.444291683447
3,0.0,0.5,0.5,39.67137694736643,0.5,0.5,0.5,0.001200384122919334,26262.70720538564,0.0004598405885959534,26288.868247490926
4,0.0,0.5,0.5,39.71441723169628,0.5,0.5,0.5,0.0006802176696542894,98665.67220899867,0.0009963212752912324,98632.43841674847
5,0.0,0.5,0.5,39.88763318007208,0.5,0.5,0.5,4.001280409731114e-05,236057.43966658766,7.664009809932556e-05,236042.12230995364
6,0.0,0.5,0.5,39.83947361788356,0.5,0.5,0.5,0.0005201664532650448,143879.03967967528,0.0008430410790925812,143828.99322000908
7,0.0,0.5,0.5,39.93701698436595,0.5,0.5,0.5,4.001280409731114e-05,95791.71362913515,0.0,95797.98329207039
8,0.0,0.5,0.5,33.52455472203457,0.05,0.5,0.5,4.001280409731114e-05,152075032.2627255,0.00015328019619865113,152064379.879159
9,0.0,0.5,0.5,33.57485916062849,0.05,0.5,0.5,0.00012003841229193341,204824401.73144272,0.0,204852248.5419686
10,0.0,0.5,0.5,33.550739256468106,0.05,0.5,0.5,4.001280409731114e-05,213462729.67577443,7.664009809932556e-05,213455446.13330972
1,0.0,0.5,0.5,39.7773097098704,0.5,0.5,0.5,0.0,185828.14472022434,0.0,185816.882977601
