epoch,accuracy,common_voice_val_auc,common_voice_val_eer,librispeech_val_auc,librispeech_val_eer,loss,lr,sitw_val_auc,sitw_val_eer,tcof_val_auc,tcof_val_eer,train_accuracy,train_loss,val_accuracy,val_loss
1,0.0,0.5,1,0.5,0.5,20.44446981225458,0.1,0.5,0.5,0.5,0.5,0.00104,945.9313834240692,0.0,944.5317534230664
2,0.0,0.5,1,0.5,0.5,19.751618595716668,0.1,0.5,0.5,0.5,0.5,0.001,2743.4620947108574,0.0009699321047526673,2741.537176644195
3,0.0,0.5,1,0.5,0.5,19.76054003107999,0.1,0.5,0.5,0.5,0.5,0.00056,1232.0315528947126,0.0012932428063368898,1230.7721867861123
4,0.0,0.5,1,0.5,0.5,19.745158789313415,0.1,0.5,0.5,0.5,0.5,0.00092,1704.3967085235984,0.0012932428063368898,1699.491886750479
5,0.0,0.5,1,0.5,0.5,19.771552179174204,0.1,0.5,0.5,0.5,0.5,0.00116,729.0797243030429,0.0006466214031684449,731.4312556852603
6,0.0,0.5,1,0.5,0.5,19.763998414760394,0.1,0.5,0.5,0.5,0.5,0.00052,2159.5392473090633,0.0012932428063368898,2153.160417036038
