epoch,accuracy,common_voice_test_auc,common_voice_test_eer,librispeech_dev_clean_auc,librispeech_dev_clean_eer,loss,lr,sitw_eval_auc,sitw_eval_eer,tcof_dev_auc,tcof_dev_eer,train_accuracy,train_loss,val_accuracy,val_loss
1,0.5535507049747272,1.0,0.027325807707279094,0.9709214075235854,0.054216867469879526,3.6992857047873717,0.0001,0.7579081740390916,0.30508474576271183,0.9931330128205128,0.057852564102564105,0.9125416666666667,1.1337651803133095,0.9085910652920962,1.1508101161861024
2,0.5699199255121044,1.0,0.028460342146189737,0.9728098785675245,0.05421686746987952,3.535258412321118,0.0001,0.7432150938872155,0.3389830508474576,0.994931891025641,0.04094551282051282,0.9187916666666667,1.09637234000606,0.9086340206185567,1.14741339867867
3,0.5767466879489226,1.0,0.020692898573444116,0.972255144839714,0.061472715318869164,3.4538936236222373,0.0001,0.7414889805304767,0.30508474576271183,0.9950841346153846,0.03942307692307692,0.91575,1.167617508649279,0.9089561855670103,1.177114323384251
4,0.5822746874168662,1.0,0.0412094236819891,0.9731425702811245,0.07228915662650603,3.3917527145420374,0.0001,0.7451264885513863,0.32851056988988026,0.993573717948718,0.05608974358974359,0.9225,1.1190604375583768,0.9097079037800687,1.1650693068840547
5,0.5874183692471402,1.0,0.026643814272358988,0.9706340153513463,0.07228915662650603,3.3356365473431966,0.0001,0.7427845873199468,0.30508474576271183,0.9923277243589743,0.06915064102564103,0.9225416666666667,1.1169206368517581,0.910094501718213,1.1680060141064796
6,0.5915741287576483,1.0,0.018847180775875612,0.9741589632692506,0.06325301204819278,3.2817116505697568,0.0001,0.7492067644025563,0.3389830508474576,0.9957011217948718,0.03325320512820513,0.92825,1.0901003550660326,0.9132946735395189,1.159601181442566
7,0.5959883213620644,1.0,0.021613155833985903,0.9717709595779568,0.0653353057199211,3.2314406026985756,0.0001,0.7552529294200832,0.30508474576271183,0.9937419871794873,0.056810897435897435,0.9279166666666666,1.1033643530677322,0.912328178694158,1.183746146659709
8,0.6007003059324288,1.0,0.04428975751548994,0.9729843931940781,0.06325301204819278,3.181882025350363,0.0001,0.7640892129495286,0.30508474576271183,0.9934815705128205,0.058333333333333334,0.9260833333333334,1.1279784009812872,0.9094716494845361,1.2042317687600532
9,0.6037160814046288,1.0,0.03810916929709754,0.9716338232614876,0.06325301204819278,3.137764594035165,0.0001,0.7639570637817277,0.3389830508474576,0.995264423076923,0.040865384615384616,0.932625,1.0928873215066532,0.9123711340206185,1.1881292317724832
10,0.6084815110401703,1.0,0.01653022670025189,0.9714758937129188,0.07228915662650603,3.092685511821467,0.0001,0.7531112954841768,0.33687002652519893,0.9956730769230769,0.03822115384615385,0.9385416666666667,1.0589869031158978,0.9162585910652921,1.161391658609261
11,0.6119232907688215,1.0,0.027779939304334294,0.9730777152000507,0.07228915662650603,3.0511648725236653,0.0001,0.7565022158826952,0.288135593220339,0.9933533653846154,0.0625,0.9396666666666667,1.0513881114505812,0.9166022336769759,1.1646771202787995
12,0.6153848762968874,1.0,0.03252284342573951,0.9709426958326401,0.0653353057199211,3.0106424962049205,0.0001,0.7559095881714233,0.32762639659191384,0.9959174679487179,0.03469551282051282,0.9383333333333334,1.0653406910360872,0.9181915807560137,1.176674130573438
