epoch,LibriSpeech_val_auc,LibriSpeech_val_eer,TCOF_val_auc,TCOF_val_eer,accuracy,loss,lr,train_accuracy,train_loss,val_accuracy,val_loss
1,0.8720782918202167,0.19819819819819817,0.8572488767650834,0.25,0.0,17.92137597414286,0.01,4.001280409731114e-05,22474.185752600522,0.0,22557.25824859149
2,0.9032747714427668,0.16396811046272705,0.84748743046641,0.25722079589216945,0.0,17.174266316765625,0.01,0.0,5348815.694015327,0.0,5412578.46188588
3,0.8827185038247749,0.18673461001068464,0.8366294929396663,0.2384467265725289,0.0,17.157161998348613,0.01,0.0,10682.886201154113,0.0,10730.866025457346
4,0.8868094691222825,0.19819819819819817,0.8837786157466838,0.16666666666666663,0.0,17.239701679638294,0.01,0.0,5381656.299326838,0.0,5403677.562001822
5,0.8668137192835146,0.18918918918918914,0.8760028883183569,0.20338575096277278,0.0,17.427478806326743,0.01,4.001280409731114e-05,236711.13926755008,0.0,238421.7440153567
