epoch,accuracy,librispeech_dev_clean_auc,librispeech_dev_clean_eer,loss,lr,sitw_eval_auc,sitw_eval_eer,train_accuracy,train_loss,val_accuracy,val_loss
1,0.0,0.7486779125986086,0.3190184049079755,20.02139341373806,0.01,0.609080456506927,0.43444337194337196,4.001280409731114e-05,9812597.323379507,7.664009809932556e-05,9810604.955445778
2,0.0,0.5,0.5,19.797252942373056,0.01,0.5,0.5,0.0,22153604.556753166,0.00015328019619865113,22150154.974676743
3,0.0,0.5,0.5,19.847808511335,0.01,0.5,0.5,4.001280409731114e-05,66857898.76791792,7.664009809932556e-05,66853053.35771571
4,0.0,0.5,0.5,18.354748986712995,0.01,0.5,0.5,4.001280409731114e-05,7.16317239084672,0.0002299202942979767,7.163172390846701
5,0.0,0.5,0.5,17.6623975187027,0.01,0.5,0.5,0.0,7.16317239084672,0.0002299202942979767,7.163172390846701
6,0.0,0.5,0.5,17.6623975187027,0.01,0.5,0.5,4.001280409731114e-05,7.16317239084672,0.0002299202942979767,7.163172390846701
7,0.0,0.5,0.5,17.6623975187027,0.01,0.5,0.5,8.002560819462228e-05,7.16317239084672,0.0002299202942979767,7.163172390846701
8,0.0,0.5,0.5,17.6623975187027,0.01,0.5,0.5,4.001280409731114e-05,7.16317239084672,0.0002299202942979767,7.163172390846701
9,0.0,0.5,0.5,17.6623975187027,0.01,0.5,0.5,0.0,7.16317239084672,0.0002299202942979767,7.163172390846701
10,0.0,0.5,0.5,17.6623975187027,0.01,0.5,0.5,4.001280409731114e-05,7.16317239084672,0.0002299202942979767,7.163172390846701
11,0.0,0.5,0.5,17.6623975187027,0.01,0.5,0.5,4.001280409731114e-05,7.16317239084672,0.0002299202942979767,7.163172390846701
12,3.4059945504087195e-05,0.5,0.5,nan,0.01,0.5,0.5,0.0006802176696542894,nan,0.0009196811771919068,nan
13,0.000842983651226158,0.5,0.5,nan,0.01,0.5,0.5,0.0010803457106274008,nan,0.0009196811771919068,nan
14,0.000842983651226158,0.5,0.5,nan,0.01,0.5,0.5,0.0006402048655569782,nan,0.0009196811771919068,nan
15,0.000842983651226158,0.5,0.5,nan,0.01,0.5,0.5,0.0010403329065300896,nan,0.0009196811771919068,nan
16,0.000842983651226158,0.5,0.5,nan,0.01,0.5,0.5,0.0009202944942381563,nan,0.0009196811771919068,nan
17,0.000842983651226158,0.5,0.5,nan,0.01,0.5,0.5,0.0008802816901408451,nan,0.0009196811771919068,nan
18,0.000842983651226158,0.5,0.5,nan,0.01,0.5,0.5,0.0007202304737516005,nan,0.0009196811771919068,nan
19,0.000842983651226158,0.5,0.5,nan,0.01,0.5,0.5,0.0009202944942381563,nan,0.0009196811771919068,nan
