epoch,accuracy,common_voice_test_auc,common_voice_test_eer,librispeech_dev_clean_auc,librispeech_dev_clean_eer,loss,lr,sitw_eval_auc,sitw_eval_eer,tcof_dev_auc,tcof_dev_eer,train_accuracy,train_loss,val_accuracy,val_loss
1,0.5832134477254589,1.0,0.00024,0.9785866834761828,0.057324840764331204,3.395894950808171,1e-06,0.6882264716910387,0.4444444444444444,0.9937654937654938,0.036315536315536315,0.9165833333333333,1.108814025496864,0.9204682130584192,1.1008100536864174
2,0.5835337988826815,1.0,0.00024,0.9775172720914989,0.0573248407643312,3.3935322824601757,1e-06,0.6913019801096292,0.4444444444444444,0.9937654937654938,0.03727753727753728,0.91975,1.093177172856755,0.9202104810996563,1.1004523846802938
3,0.5832413540835328,0.9999999999999999,0.0004797697105389412,0.9767889119915201,0.05732484076433119,3.3938868290674984,1e-06,0.6895566625600371,0.4444444444444444,0.9935712435712436,0.03823953823953824,0.922375,1.091252482097952,0.9203823024054982,1.1014192040096014
4,0.583374195264698,1.0,0.0004797697105389412,0.9780849068733987,0.05732484076433119,3.3926799628962803,1e-06,0.6834101094506044,0.4444444444444445,0.9935989935989936,0.037758537758537755,0.9207916666666667,1.0964985273533367,0.9203823024054982,1.1016739754767346
5,0.5840350359138069,1.0,0.0004797697105389412,0.9769598296468434,0.0573248407643312,3.3904180594340745,1e-06,0.686851643544557,0.4444444444444444,0.9938209938209939,0.03559403559403559,0.92375,1.0771319024264732,0.9205541237113402,1.1016944732113456
6,0.5836301808991753,0.9999999999999999,0.00024,0.9771942534034567,0.0573248407643312,3.3907029540244036,1e-06,0.6912394879211528,0.4444444444444444,0.9930809930809931,0.042007375340708676,0.9238333333333333,1.084213587361431,0.9205326460481099,1.1018743757314153
7,0.5835228784251131,1.0,0.00024,0.9768234091329615,0.05732484076433119,3.388974243569854,1e-06,0.6875345938900495,0.4444444444444444,0.9934602434602435,0.03896103896103896,0.9212916666666666,1.0969569169140596,0.9202534364261168,1.1014724525903834
8,0.5847851157222665,1.0,0.00024,0.9775635296220682,0.0573248407643312,3.3857903095751047,1e-06,0.6933017301408753,0.4167604049493813,0.994015244015244,0.03439153439153439,0.9207083333333334,1.0804517012396933,0.9204037800687285,1.1016379257478186
9,0.5839020218143123,1.0,0.00024,0.9767348142015324,0.057324840764331204,3.386082939998859,1e-06,0.6895388076490439,0.4444444444444444,0.9935434935434935,0.03872053872053872,0.9228333333333333,1.0800337316709514,0.9201675257731958,1.1021275072373997
10,0.5847737829209897,0.9999999999999999,0.00024,0.9769072999087394,0.05732484076433119,3.38504294565359,1e-06,0.6938418411984216,0.41025228989233486,0.9933214933214932,0.040163540163540165,0.92225,1.076044474410818,0.9202963917525773,1.101855710293491
11,0.5845227188081936,1.0,0.00024,0.9777587520815889,0.0573248407643312,3.3842789674639353,1e-06,0.6842135804453015,0.4444444444444444,0.9932197432197432,0.041285874619207956,0.9223333333333333,1.0794596658937983,0.9202963917525773,1.1021677065411708
12,0.5844390529396115,1.0,0.00024,0.9776936779284152,0.0573248407643312,3.381851778902039,1e-06,0.6892218829789133,0.4444444444444444,0.9937932437932437,0.036315536315536315,0.9213333333333333,1.098051971358186,0.9202963917525773,1.1027972506616572
13,0.5842837190742218,0.9999999999999999,0.0004797697105389412,0.9781060755738287,0.0573248407643312,3.3836458393097124,1e-06,0.683686860571,0.4317049654507472,0.9929514929514931,0.044332210998877665,0.9239166666666667,1.089168503713068,0.9200171821305841,1.1047258183697695
