epoch,LibriSpeech_val_auc,LibriSpeech_val_eer,TCOF_val_auc,TCOF_val_eer,accuracy,loss,lr,train_accuracy,train_loss,val_accuracy,val_loss
1,0.5,0.5,0.5,0.5,0.0,19.986775749467625,0.01,0.0,15790501.35994555,0.0,15790477.722583475
2,0.5,0.5,0.5,0.5,0.0,19.9178773414428,0.01,0.0,1007473.1826443148,0.0,1007307.9748695636
3,0.5,0.5,0.5,0.5,0.0,19.96779089554971,0.01,8.002560819462228e-05,10884313.54411407,6.527415143603133e-05,10883751.549587768
4,0.5,0.5,0.5,0.5,0.0,20.022922494912056,0.01,0.0,17978458.067254685,0.0,17978807.94315015
5,0.5,0.5,0.5,0.5,0.0,19.472761560970103,0.01,0.0006402048655569782,7.5087871706343465,0.0004569190600522193,7.508787170634247
