epoch,accuracy,common_voice_test_auc,common_voice_test_eer,librispeech_dev_clean_auc,librispeech_dev_clean_eer,loss,lr,sitw_eval_auc,sitw_eval_eer,tcof_dev_auc,tcof_dev_eer,train_accuracy,train_loss,val_accuracy,val_loss
1,0.0,0.40871618376820873,0.5,0.6037179289819377,0.4357963875205254,18.789984276752797,0.001,0.4969468510101249,0.5294117647058824,0.4889816003423192,0.4232188703465982,0.0005,8.16538211015624,0.0008837825894829872,8.218913241414217
2,0.0,0.5426604770289739,0.5,0.7166930931855501,0.34490968801313626,18.374530972905365,0.001,0.5596965354943397,0.4411764705882352,0.5599660355156183,0.41666666666666663,0.006,7.671363870383476,0.001104728236853734,7.848640009150395
3,0.0,0.7091003681767248,0.4520569873539299,0.7575610632183908,0.31863711001642037,18.023043490741774,0.001,0.5904652553068332,0.4603968381997096,0.5845969726144631,0.41666666666666663,0.012958333333333334,7.359331785398244,0.005081749889527177,7.668214496370372
4,0.0,0.759964783095886,0.3572114615015207,0.7905434113300491,0.27812499999999996,17.6840801668207,0.001,0.6023362401905431,0.4411764705882353,0.6064733097988875,0.4166666666666666,0.029083333333333333,7.056542244940002,0.009058771542200618,7.511990658195287
5,0.0,0.8342804546182168,0.2462782135425004,0.8035134441707719,0.2834975369458128,17.366776487453023,0.001,0.6194998244498637,0.43942571382481044,0.6147638532306376,0.41666666666666663,0.057,6.790434559906053,0.013256738842244807,7.39497364743469
6,0.0,0.84116375860413,0.2161837682087402,0.817492302955665,0.259375,17.05519866907364,0.001,0.6292879306909084,0.45136312308436843,0.6292388746255883,0.36063863928112966,0.09679166666666666,6.515194410863265,0.015687140963323024,7.293405735684174
1,0.0,1.0,0.005491007480502944,0.8042737018044728,0.29875995729654264,16.871072071434725,0.001,0.6412780303733259,0.4131885806192199,0.5576043409283118,0.446914372843271,0.12033333333333333,6.412266568145155,0.0897039328325232,6.598113433047206
2,0.0,1.0,0.008332010791937787,0.7996865633352834,0.28792569659442724,16.6178989993653,0.001,0.6553747177631375,0.41538461538461535,0.5513509843017907,0.4615384615384616,0.17083333333333334,6.1779370528865805,0.08948298718515245,6.5471551374405665
3,0.0,1.0,0.008803934010152285,0.8036874064209261,0.2898086556623142,16.316000528977828,0.001,0.6164189168290495,0.41538461538461535,0.55412888211219,0.46153846153846156,0.24504166666666666,5.9160980776012,0.09147149801148917,6.50529052315758
4,0.0,1.0,0.005728379346010025,0.8192908470036009,0.2693498452012384,16.006234353134246,0.001,0.6470829853700784,0.3983916365098512,0.5525053551696678,0.46153846153846156,0.32366666666666666,5.684758147480534,0.10207688908528502,6.463548948859722
5,0.0,1.0,0.005728379346010025,0.8082481031208661,0.28792569659442724,15.735527343153738,0.001,0.6474491973647583,0.4,0.5630305013179582,0.4615384615384615,0.39591666666666664,5.484153754279971,0.09942554131683606,6.451560667724471
6,0.0,1.0,0.005965637925548839,0.8278101816574972,0.26205140839287183,15.435540167674063,0.001,0.6190257028857753,0.41538461538461535,0.5532955127690703,0.46153846153846156,0.48175,5.202851016916717,0.10627485638532921,6.367409527139835
7,0.0,1.0,0.005491007480502944,0.8192422856773836,0.2775724726944239,15.154550995964236,0.001,0.6216795026445208,0.4331322878970648,0.5590056360460021,0.46153846153846156,0.546625,4.989661500539805,0.10627485638532921,6.35635002000648
8,0.0,1.0,0.005965637925548839,0.8058693608795551,0.2871807505953847,14.870986942775659,0.001,0.655272029940305,0.3692307692307693,0.5455112257937071,0.46153846153846156,0.5989166666666667,4.8302921997065855,0.11290322580645161,6.337037006634244
