epoch,accuracy,common_voice_test_auc,common_voice_test_eer,librispeech_dev_clean_auc,librispeech_dev_clean_eer,loss,lr,sitw_eval_auc,sitw_eval_eer,train_accuracy,train_loss,val_accuracy,val_loss
1,0.8288037302103665,0.9999999999999999,0.004064392731909467,0.9738560604281172,0.0714285714285714,1.3985982030378312,0.0001,0.6041331402210064,0.375,0.9717083333333333,0.44938088172976176,0.9728009697704372,0.44875004575177974
2,0.8381461721969203,1.0,0.009039727222266276,0.9739142923693647,0.0803571428571429,1.3279476943118242,0.0001,0.6004619944211995,0.375,0.9656666666666667,0.48801906021081126,0.9659822713841958,0.5071719413876066
3,0.8409412274994579,1.0,0.004302446020237431,0.9714362541300637,0.08007234462347912,1.3010450296662568,0.0001,0.5934147355433965,0.3764081107177342,0.9680833333333333,0.459914602440183,0.9658686264110917,0.4844567937514728
4,0.8428069110099038,1.0,0.008332010791937787,0.9721245165280844,0.0803571428571429,1.2827414256049225,0.0001,0.5919161034223797,0.3965239781139362,0.9655416666666666,0.5062244971773067,0.9642018334722328,0.5176207391098255
5,0.845682642955252,1.0,0.0038262255878836185,0.974263684016849,0.0803571428571429,1.2645585223196993,0.0001,0.5965461055680721,0.375,0.9738333333333333,0.4366795453365474,0.9715129934085915,0.46581648653975494
6,0.8474485650256633,1.0,0.01115682861212217,0.9728874038928297,0.0714285714285714,1.2493541848598322,0.0001,0.5889054286020813,0.3811554554232379,0.975125,0.4377170276820135,0.9695431472081218,0.4804715381296445
7,0.848428685028555,1.0,0.0035879445064583002,0.9750781971782465,0.0803571428571429,1.2375730696467526,0.0001,0.6028289614848192,0.375,0.9723333333333334,0.4708804070053953,0.9683688158193803,0.4945770307285458
8,0.8504218896840887,1.0,0.0038262255878836185,0.9725277360204193,0.0803571428571429,1.2238284159139772,0.0001,0.5932001662911704,0.375,0.96725,0.5055596567038396,0.9608303659368134,0.5515621818891054
9,0.8520540735921348,1.0,0.005728379346010025,0.975279562252392,0.0714285714285714,1.2088043537678657,0.0001,0.5909807155884562,0.375,0.973375,0.4418477475094859,0.967118721115236,0.4895111994527846
10,0.8530301453047061,1.0,0.0035879445064583002,0.972009520677722,0.07530417625780993,1.1986423505543546,0.0001,0.5940785591674713,0.375,0.9660416666666667,0.5166954008454048,0.9624592772179711,0.5587704941687167
11,0.8552931395937251,1.0,0.0033495494058537363,0.9739194304818277,0.0714285714285714,1.183663420248609,0.0001,0.6037576440296105,0.375,0.972375,0.4639794919113781,0.9651488749147663,0.5241275319831675
12,0.8561026530759778,1.0,0.00311104020421187,0.9744457200012527,0.07982571522525485,1.173609135977452,0.0001,0.5962041358223367,0.375,0.9735,0.44596212552463255,0.9688612773694977,0.4957427897626389
13,0.8575619171546303,1.0,0.004540385534490998,0.9740469046053146,0.0803571428571429,1.1624633843970869,0.0001,0.5928313753889067,0.375,0.9772916666666667,0.42326251580683283,0.972005454958709,0.4752597834764555
14,0.8588485505674837,1.0,0.004064392731909467,0.9717073507304927,0.0803571428571429,1.1521091327881794,0.0001,0.5924659371312091,0.375,0.9775833333333334,0.42448832916486595,0.9700356087582392,0.4836306879259849
15,0.8592182462228006,1.0,0.005015923566878981,0.9715529626845807,0.0803571428571429,1.1447480980201503,0.0001,0.5974848460465616,0.375,0.96675,0.5394870542486382,0.9581786498977195,0.6009688753979016
16,0.8613310200245788,1.0,0.0035879445064583002,0.9739867152878909,0.08035714285714289,1.1300508455322842,0.0001,0.5867731466580839,0.375,0.9772916666666667,0.4491659425840994,0.9695431472081218,0.5114398263111105
17,0.8624422757174872,1.0,0.008803934010152285,0.9742546311520334,0.0803571428571429,1.1225438561798304,0.0001,0.5881343203518936,0.382764724814934,0.9774583333333333,0.4447961411273611,0.9683688158193803,0.5076485818354783
18,0.8639969637822598,1.0,0.005253522247870731,0.9744819314605159,0.0747287076619533,1.1107170082863336,0.0001,0.5849794818152558,0.375,0.96875,0.5123842685822276,0.9585195848170316,0.5947643604381286
19,0.8640451095207113,1.0,0.007150234368793199,0.9758175960288753,0.07738095238095233,1.1052975012013218,0.0001,0.5875274916854415,0.375,0.9636666666666667,0.5719872727803416,0.9526100462156224,0.6427210700893108
20,0.8659959517096797,1.0,0.0019167798099193356,0.9751799807394185,0.0803571428571429,1.0917264581845147,0.0001,0.5881812573758181,0.375,0.9695,0.49993224805211633,0.9587089931055383,0.586090340854021
21,0.866781320031808,1.0,0.006676734758763214,0.9693550739105243,0.07760605064123643,1.0826257488591806,0.0001,0.5994528484068233,0.375,0.9752916666666667,0.4772784513196963,0.965565573149481,0.5464915760291164
22,0.8675399407214631,1.0,0.008332010791937787,0.9695077492522822,0.0755508056560342,1.075500820429929,0.0001,0.5868267889711404,0.3826037978757645,0.978,0.44467942119595677,0.9694673838927191,0.5227379659561182
23,0.8687425721101713,1.0,0.009275408276518154,0.972551469206558,0.0803571428571429,1.0649706809994752,0.0001,0.5861160283231412,0.40159317669777916,0.9756666666666667,0.47197157767115594,0.9624213955602697,0.5707008166885733
24,0.869975276512687,1.0,0.004302446020237431,0.9723679651900221,0.07522196645840185,1.0572943108106179,0.0001,0.5883488896041198,0.375,0.98,0.4349891088944863,0.9694295022350178,0.5144536329417847
25,0.871125280127232,1.0,0.004302446020237431,0.9684576169336527,0.08630952380952384,1.047992469812104,0.0001,0.5974881986911276,0.3981332475056324,0.9707916666666667,0.5175089758164204,0.9576483066899008,0.6181359598545623
