epoch,accuracy,common_voice_test_auc,common_voice_test_eer,librispeech_dev_clean_auc,librispeech_dev_clean_eer,loss,lr,sitw_eval_auc,sitw_eval_eer,train_accuracy,train_loss,val_accuracy,val_loss
1,0.8401652569941445,1.0,0.005731115179495344,0.970144899255416,0.08267522211253701,1.3126408664019074,1e-05,0.6632080482897384,0.3997585513078471,0.97475,0.4230941805898482,0.9748465792863096,0.4200248226744488
2,0.8413230680257356,1.0,0.0064428889595927455,0.9695343767457165,0.08720930232558144,1.3041834843411844,1e-05,0.6617786720321932,0.38293762575452717,0.9737083333333333,0.42383298251584417,0.9744298810515948,0.4202339758633191
3,0.8419345044458904,1.0,0.005256032491837223,0.9690386410768537,0.08613030602171767,1.2999589399104263,1e-05,0.6641867203219316,0.36539235412474846,0.9765833333333334,0.4124346699068634,0.9746571709978029,0.4184332484613401
4,0.8423678160919541,1.0,0.00691683892510733,0.9694750702112843,0.08275748601513656,1.2957620671002343,1e-05,0.663230583501006,0.3679678068410463,0.97375,0.42004075313824896,0.9742783544207895,0.41853582891027524
5,0.8428196342080533,1.0,0.006679920477137177,0.9696010965969528,0.08720930232558144,1.2904501444044365,1e-05,0.6624193158953724,0.3807645875251509,0.9750833333333333,0.41652540193702947,0.9746571709978029,0.4191060797150803
6,0.8429754933853828,1.0,0.005493630573248408,0.9691412318158512,0.08720930232558144,1.2877917627881723,1e-05,0.6610800804828973,0.3779476861167002,0.973875,0.42175241915426953,0.9742404727630881,0.4210618088571815
7,0.8433856719439022,1.0,0.005968486391851027,0.9690694900403285,0.09057255676209279,1.285828399525452,1e-05,0.6624,0.3905835010060362,0.9750833333333333,0.4202700459946762,0.9745814076824002,0.4180446703846724
8,0.8437161859321912,1.0,0.006679920477137177,0.9673780581127511,0.08720930232558144,1.2837504839454035,1e-05,0.6639388329979881,0.3723943661971831,0.9734166666666667,0.4233924315142949,0.9745814076824002,0.4200860717098994
9,0.8440546519193233,1.0,0.007390336935791482,0.9684312273774268,0.08720930232558144,1.2807776009644842,1e-05,0.6599758551307847,0.3875251509054326,0.9756666666666667,0.4196608680603101,0.9743541177361922,0.420917630358995
10,0.8448417552230174,1.0,0.005731115179495344,0.9683700077289805,0.08720930232558144,1.2766405414837108,1e-05,0.6657641851106639,0.36,0.9747916666666666,0.4170008350409535,0.9745435260246988,0.4215888991584854
11,0.8450268199233717,1.0,0.0064428889595927455,0.9686808887562464,0.0935340572556762,1.2726358444159083,1e-05,0.6633368209255533,0.3909054325955734,0.9762083333333333,0.4152716655242931,0.9744677627092961,0.4232177415399935
12,0.8447531265813634,1.0,0.005256032491837223,0.9680517133849109,0.08999670944389603,1.274082597264067,1e-05,0.6650301810865191,0.37480885311871226,0.974625,0.4194007550219404,0.9749223426017123,0.4224460659830322
13,0.8450245066146173,1.0,0.005731115179495344,0.9675100629797133,0.09493254359986837,1.2704656484421648,1e-05,0.6642993963782697,0.36989939637826963,0.9758333333333333,0.4147506912652786,0.9748086976286082,0.4212779033974753
14,0.8455730499530109,1.0,0.006679920477137177,0.9689611599592889,0.08794011187890753,1.2672671264606277,1e-05,0.6626060362173039,0.36144869215291753,0.976125,0.4064868904405153,0.9742025911053868,0.4226779481731997
15,0.8460108436347864,1.0,0.005256032491837223,0.968923854236017,0.08999670944389603,1.2646740913468635,1e-05,0.6596024144869215,0.3824547283702213,0.976625,0.4160225818885041,0.9745056443669975,0.4237948565610007
16,0.8461872334273115,1.0,0.005968486391851027,0.9677630723080572,0.09024350115169463,1.2627817408639002,1e-05,0.6630213279678068,0.3790744466800805,0.9747083333333333,0.41761039268604827,0.9747329343132055,0.4218326263273283
17,0.8465018434179137,1.0,0.005256032491837223,0.9677214620782539,0.09427443237907206,1.2607141328689,1e-05,0.6608225352112675,0.378672032193159,0.9755416666666666,0.4120514162855908,0.9749981059171149,0.4227797931686191
18,0.8468482614038892,1.0,0.005968486391851027,0.9684814466202928,0.08720930232558144,1.2587581048667429,1e-05,0.6615018108651911,0.3756941649899396,0.97575,0.4195416658371369,0.9749602242594136,0.42193266365192983
19,0.8468365502783199,1.0,0.005493630573248408,0.9690422281656297,0.08720930232558144,1.2573097848022416,1e-05,0.6602012072434608,0.383420523138833,0.9764166666666667,0.4059384895330292,0.9749223426017123,0.42193527584382867
20,0.8469984818911299,1.0,0.005731115179495344,0.9671181137461068,0.09593023255813948,1.2536976990812576,1e-05,0.6602076458752515,0.38293762575452717,0.975125,0.41565726827353305,0.9746950526555042,0.42703928267723584
21,0.8469882165835321,1.0,0.005968486391851027,0.9672087475225173,0.08720930232558144,1.2544294070471096,1e-05,0.6646953722334004,0.3713480885311871,0.976,0.40674478994646385,0.9742783544207895,0.42528823439360974
22,0.8478834670714956,1.0,0.005968486391851027,0.9672934028176343,0.09452122408687068,1.2482512238346615,1e-05,0.6632402414486922,0.37408450704225354,0.977,0.4087244760991089,0.9745435260246988,0.42325807529613935
23,0.847648377069327,1.0,0.006679920477137177,0.9669947178922076,0.08720930232558144,1.2489235449592329,1e-05,0.6630824949698189,0.3740040241448692,0.9753333333333334,0.42188253797957215,0.9746571709978029,0.4242703854755104
24,0.8476196052916938,1.0,0.005493630573248408,0.9685809285490179,0.09593023255813948,1.2472468696034404,1e-05,0.6582503018108652,0.3930784708249497,0.9775,0.41019568924105854,0.9746192893401016,0.42511658561548893
25,0.8483964432877901,1.0,0.006205744291510859,0.9682918091936608,0.09550839091806515,1.2424526767286637,1e-05,0.662728370221328,0.37714285714285717,0.9755,0.4149927494461841,0.9745056443669975,0.42449020715806873
