epoch,accuracy,common_voice_val_auc,common_voice_val_eer,librispeech_val_auc,librispeech_val_eer,loss,lr,sitw_val_auc,sitw_val_eer,tcof_val_auc,tcof_val_eer,train_accuracy,train_loss,val_accuracy,val_loss
1,0.0,0.5322609043617447,0.6,0.9010596119929453,0.1685714285714286,17.163638182174786,0.1,0.5542465753424658,0.5,0.6945238374497663,0.3711580130005617,0.000625,7.964361743778751,0.0007579202667879339,8.010341950177406
2,0.0,0.6431372549019607,0.5492597038815527,0.9375073486184597,0.1428571428571429,15.497700465413672,0.1,0.5824200913242009,0.4333333333333334,0.8059360589655109,0.3041489447074874,0.005208333333333333,6.448537521857652,0.003941185387297257,6.520543931856815
3,0.0,0.5999199679871948,0.5891156462585034,0.9426201058201058,0.13428571428571423,14.797640031794277,0.1,0.5915713134568896,0.4666666666666667,0.8012136326878322,0.27758606853382556,0.029375,6.079456139434015,0.020615431256631803,6.148895276080794
4,0.0,0.615030012004802,0.6,0.9494017636684303,0.10930041152263374,14.232446016571624,0.1,0.5785307547676605,0.49186140209508455,0.7474211848660128,0.3076923076923077,0.05441666666666667,5.36827402316652,0.04077611035319084,5.502158675053936
5,6.666666666666667e-05,0.6788795518207283,0.49459783913565425,0.9453126396237507,0.1283127572016461,13.532451750988931,0.1,0.564856298683857,0.5,0.8130721697851142,0.298370917261857,0.07791666666666666,5.21101502844214,0.05608609974230711,5.398318653699823
6,0.00016666666666666666,0.6958463385354141,0.4118447378951581,0.9435515579071134,0.12,12.843173580517432,0.1,0.5886193929626645,0.45640612409347303,0.7492360781021402,0.3111307278709574,0.0975,5.235171185466672,0.0814006366530241,5.410284416364716
7,0.0004619702176403208,0.5781032412965186,0.6,0.9417493239271018,0.13637860082304526,12.364846447167675,0.1,0.5404190169218372,0.5,0.6725475792163859,0.4305432950806516,0.127125,5.107190311662632,0.10171289980294074,5.273817881059517
8,0.0010786368843069872,0.7998559423769508,0.3241296518607443,0.9635703703703704,0.10823045267489712,11.863302419563862,0.1,0.5918963201719043,0.43333333333333335,0.6887334637916454,0.327822807158334,0.3017916666666667,4.280746985563777,0.245414582385933,4.499967527935446
9,0.003052577319587629,0.7780712284913965,0.33541416566626653,0.9535395649617872,0.13407407407407407,11.551064026085285,0.1,0.6256218103679828,0.4333333333333334,0.8386226565345416,0.29724741192520665,0.24370833333333333,4.598955017137228,0.19129907533727453,4.828410533497982
10,0.00695,0.5288355342136855,0.6,0.9217476778365666,0.1646090534979424,10.854598008816069,0.1,0.5918560300832661,0.42707493956486703,0.6634422475045219,0.3846153846153846,0.07975,6.037862520885661,0.06063362134303471,6.1961517998073266
